Date : 2021-05-22 20:13:44
Directory : /Users/tyshowers/Dropbox/angular/notch-app/projects
Total : 542 files,  9804 codes, 781 comments, 1827 blanks, all 12412 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.component.html                | HTML       |         74 |         20 |          8 |        102 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.component.ts                  | TypeScript |         36 |          0 |         12 |         48 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.module.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.service.spec.ts               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/lib/lick-app-widget-stats15.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/src/test.ts                                                   | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.component.html                | HTML       |         12 |          2 |          1 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.component.ts                  | TypeScript |         59 |          0 |          6 |         65 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.module.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.service.spec.ts               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/lib/lick-app-widget-stats16.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/src/test.ts                                                   | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats16/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/README.md                                                  | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/karma.conf.js                                              | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/ng-package.json                                            | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/package.json                                               | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.component.html          | HTML       |         39 |          1 |          3 |         43 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.component.ts            | TypeScript |         94 |          0 |         18 |        112 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.module.ts               | TypeScript |         13 |          0 |          3 |         16 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.service.spec.ts         | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/lib/lick-app-widget-table-data.service.ts              | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/public-api.ts                                          | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/src/test.ts                                                | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/tsconfig.lib.json                                          | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/tsconfig.lib.prod.json                                     | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/tsconfig.spec.json                                         | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-table-data/tslint.json                                                | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/README.md                                                      | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/karma.conf.js                                                  | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/ng-package.json                                                | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/package.json                                                   | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.component.css                   | CSS        |         51 |          0 |         10 |         61 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.component.html                  | HTML       |         22 |          0 |          6 |         28 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.component.spec.ts               | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.component.ts                    | TypeScript |         20 |          0 |         10 |         30 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.module.ts                       | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.service.spec.ts                 | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/lib/lick-app-widget-totals.service.ts                      | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/public-api.ts                                              | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/src/test.ts                                                    | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/tsconfig.lib.json                                              | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/tsconfig.lib.prod.json                                         | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/tsconfig.spec.json                                             | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-totals/tslint.json                                                    | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.component.html    | HTML       |         33 |          4 |          9 |         46 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.component.ts      | TypeScript |         25 |          0 |         10 |         35 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/lib/lick-marketing-about-product1.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product1/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.component.html    | HTML       |         26 |          2 |          7 |         35 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.component.ts      | TypeScript |         20 |          0 |          7 |         27 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/lib/lick-marketing-about-product2.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product2/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.component.html    | HTML       |         26 |          2 |          7 |         35 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.component.ts      | TypeScript |         21 |          0 |          7 |         28 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/lib/lick-marketing-about-product3.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product3/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.component.html    | HTML       |         33 |          5 |          9 |         47 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.component.ts      | TypeScript |         29 |          0 |         10 |         39 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/lib/lick-marketing-about-product4.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product4/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.component.html    | HTML       |         29 |          3 |          9 |         41 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.component.ts      | TypeScript |         32 |          0 |         12 |         44 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/lib/lick-marketing-about-product5.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product5/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.component.html    | HTML       |         23 |          3 |          7 |         33 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.component.ts      | TypeScript |         19 |          0 |          6 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/lib/lick-marketing-about-product6.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product6/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/README.md                                               | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/karma.conf.js                                           | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/ng-package.json                                         | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/package.json                                            | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.component.html    | HTML       |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.component.ts      | TypeScript |         27 |          0 |         11 |         38 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.module.ts         | TypeScript |         13 |          0 |          2 |         15 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.service.spec.ts   | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/lib/lick-marketing-about-product7.service.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/public-api.ts                                       | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/src/test.ts                                             | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/tsconfig.lib.json                                       | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/tsconfig.lib.prod.json                                  | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/tsconfig.spec.json                                      | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-about-product7/tslint.json                                             | JSON       |         17 |          0 |          1 |         18 |
